2026-06-07 04:00:27.857 +03:00 [INF] AssettoServer 0.0.55-pre35
2026-06-07 04:00:27.881 +03:00 [DBG] Server was started through Content Manager
2026-06-07 04:00:27.885 +03:00 [DBG] Loading server_cfg.ini from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\server_cfg.ini
2026-06-07 04:00:27.902 +03:00 [DBG] Loading entry_list.ini from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\entry_list.ini
2026-06-07 04:00:28.122 +03:00 [DBG] Loading extra_cfg.yml from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\extra_cfg.yml
2026-06-07 04:00:28.198 +03:00 [DBG] Using minimum required CSP Version 3879
2026-06-07 04:00:28.483 +03:00 [DBG] Mapping cached AI spline B1A0482E65F6B121.aic1 to memory
2026-06-07 04:00:28.512 +03:00 [INF] Starting server
2026-06-07 04:00:28.600 +03:00 [INF] Loaded 32 cars
2026-06-07 04:00:28.607 +03:00 [DBG] Added checksum for system/data/surfaces.ini
2026-06-07 04:00:28.607 +03:00 [DBG] Added checksum for content/tracks/csp/3879/../H/../shuto_revival_project_beta/tatsumi_pa/data/surfaces.ini
2026-06-07 04:00:28.608 +03:00 [INF] Initialized 2 track checksums
2026-06-07 04:00:28.608 +03:00 [DBG] Added checksum for traffic_alfa_159
2026-06-07 04:00:28.609 +03:00 [DBG] Added checksum for traffic_audi_a4_eu
2026-06-07 04:00:28.609 +03:00 [DBG] Added checksum for traffic_toyota_priuseu
2026-06-07 04:00:28.609 +03:00 [DBG] Added checksum for traffic_volvo_v70
2026-06-07 04:00:28.609 +03:00 [DBG] Added checksum for traffic_audi_a4_jp
2026-06-07 04:00:28.609 +03:00 [DBG] Added checksum for traffic_isuzu_flatbed
2026-06-07 04:00:28.610 +03:00 [DBG] Added checksum for traffic_isuzu_hauler
2026-06-07 04:00:28.610 +03:00 [DBG] Added checksum for traffic_isuzu_haulerb
2026-06-07 04:00:28.610 +03:00 [DBG] Added checksum for traffic_isuzu_tanker
2026-06-07 04:00:28.610 +03:00 [DBG] Added checksum for traffic_isuzu_npr
2026-06-07 04:00:28.611 +03:00 [DBG] Added checksum for traffic_nissan_leaf
2026-06-07 04:00:28.611 +03:00 [DBG] Added checksum for traffic_toyota_camry
2026-06-07 04:00:28.611 +03:00 [DBG] Added checksum for traffic_toyota_prius
2026-06-07 04:00:28.611 +03:00 [DBG] Added checksum for traffic_volvo_v70jp
2026-06-07 04:00:28.612 +03:00 [DBG] Added checksum for traffic_toyota_rav4
2026-06-07 04:00:28.612 +03:00 [DBG] Added checksum for traffic_cadillac_escalade
2026-06-07 04:00:28.612 +03:00 [DBG] Added checksum for traffic_dodge_challenger_srt
2026-06-07 04:00:28.612 +03:00 [DBG] Added checksum for traffic_dodge_grand_caravan_taxi
2026-06-07 04:00:28.613 +03:00 [DBG] Added checksum for traffic_crown_vic
2026-06-07 04:00:28.613 +03:00 [DBG] Added checksum for 06_ygt_53_nissan_350z
2026-06-07 04:00:28.614 +03:00 [INF] Initialized 20 car checksums
2026-06-07 04:00:28.800 +03:00 [INF] Next session: Practice - Length: 720 minutes
2026-06-07 04:00:28.801 +03:00 [INF] Switching session to id 0
2026-06-07 04:00:28.889 +03:00 [INF] Starting HTTP server on port 8081
2026-06-07 04:00:28.890 +03:00 [INF] Starting UDP server on port 9600
2026-06-07 04:00:28.890 +03:00 [INF] Starting TCP server on port 9600
2026-06-07 04:00:28.890 +03:00 [INF] Starting update loop with an update rate of 60hz
2026-06-07 04:00:28.898 +03:00 [DBG] Loaded blacklist.txt with 0 entries
2026-06-07 04:00:28.898 +03:00 [DBG] Loaded whitelist.txt with 0 entries
2026-06-07 04:00:28.899 +03:00 [DBG] Loaded admins.txt with 0 entries
2026-06-07 04:00:28.900 +03:00 [INF] Invite link: https://acstuff.club/s/q:race/online/join?ip=212.154.2.92&httpPort=8081
2026-06-07 04:00:28.900 +03:00 [INF] Server startup completed
2026-06-07 04:01:20.917 +03:00 [INF] corp14x3 (76561199521796457 - 212.154.2.0:65439) is attempting to connect (06_ygt_53_nissan_350z)
2026-06-07 04:01:20.919 +03:00 [DBG] corp14x3 supports extra CSP features: ["STEAM_TICKET","CLIENT_MESSAGES","SPECTATING_AWARE","WEATHERFX_V1","WEATHERFX_V2","WEATHERFX_V3","BATCH_FIX_V2","CUSTOM_UPDATE","CUSTOM_UPDATE_V2","CLIENT_UDP_MESSAGES","BATCH_MESSAGES","EXPLICIT_ADMIN_STATE","3879"]
2026-06-07 04:01:20.924 +03:00 [INF] corp14x3 (76561199521796457, 30 (06_ygt_53_nissan_350z-04_liquid_aluminum)) has connected
2026-06-07 04:01:44.622 +03:00 [DBG] AI Slot overbooking update - No. players: 1 - No. AI Slots: 30 - Target AI count: 30 - Overbooking: 1 - Rest: 0
2026-06-07 04:01:45.016 +03:00 [INF] CSP handshake received from corp14x3 (30): Version=3879 WeatherFX=true InputMethod="Keyboard" RainFX=true HWID=361513746063044730
2026-06-07 04:04:01.261 +03:00 [INF] CHAT: corp14x3 (30): /settime 22:00
2026-06-07 04:04:01.277 +03:00 [INF] Broadcast: Time has been set.
2026-06-07 04:04:22.868 +03:00 [DBG] Car 14 reached spline end, despawning
2026-06-07 04:04:33.538 +03:00 [DBG] Car 10 reached spline end, despawning
2026-06-07 04:04:44.182 +03:00 [DBG] Car 5 reached spline end, despawning
2026-06-07 04:04:55.517 +03:00 [DBG] Car 6 reached spline end, despawning
2026-06-07 04:05:11.144 +03:00 [INF] Collision between corp14x3 (30) and Traffic 6 (6), rel. speed 73km/h
2026-06-07 04:05:16.351 +03:00 [DBG] Car 27 reached spline end, despawning
2026-06-07 04:05:31.597 +03:00 [DBG] Car 21 reached spline end, despawning
2026-06-07 04:06:57.603 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 9km/h
2026-06-07 04:07:45.039 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 4km/h
2026-06-07 04:07:47.331 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 4km/h
2026-06-07 04:07:49.334 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:07:51.398 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-07 04:07:55.542 +03:00 [INF] Collision between corp14x3 (30) and Traffic 1 (1), rel. speed 12km/h
2026-06-07 04:08:02.342 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 54km/h
2026-06-07 04:08:03.120 +03:00 [INF] Collision between corp14x3 (30) and Traffic 18 (18), rel. speed 69km/h
2026-06-07 04:08:03.209 +03:00 [INF] Collision between corp14x3 (30) and Traffic 1 (1), rel. speed 19km/h
2026-06-07 04:08:08.316 +03:00 [INF] Collision between corp14x3 (30) and Traffic 18 (18), rel. speed 3km/h
2026-06-07 04:08:11.505 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 6km/h
2026-06-07 04:08:13.505 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-07 04:08:15.506 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:17.508 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:19.509 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:21.509 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:23.511 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:25.512 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:27.384 +03:00 [INF] Collision between corp14x3 (30) and Traffic 18 (18), rel. speed 14km/h
2026-06-07 04:08:27.567 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:30.078 +03:00 [INF] Collision between corp14x3 (30) and Traffic 14 (14), rel. speed 26km/h
2026-06-07 04:08:30.122 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 3km/h
2026-06-07 04:08:32.124 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:34.126 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:36.126 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:38.126 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:40.128 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:42.128 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:44.130 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:08:45.629 +03:00 [INF] Collision between corp14x3 (30) and Traffic 6 (6), rel. speed 20km/h
2026-06-07 04:08:46.130 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:09:00.773 +03:00 [INF] Collision between corp14x3 (30) and Traffic 25 (25), rel. speed 17km/h
2026-06-07 04:09:00.837 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-07 04:09:03.260 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
